record_id,product_id,sku,cpu,ram_gb,storage_gb,gpu,screen_size_inch,weight_kg
thegioididong_365613,365613,,Intel Core 7 Raptor Lake - 150U,16.0,512.0,Card tích hợp - Intel Graphics,14.0,1.406
thegioididong_367683,367683,,Intel Core Ultra 7 Panther Lake - 355,16.0,512.0,Card tích hợp - Intel Graphics,16.0,1.73
thegioididong_365625,365625,,Intel Core 5 Raptor Lake - 120U,16.0,512.0,Card tích hợp - Intel Graphics,14.0,1.4
thegioididong_365616,365616,,AMD Ryzen AI 7 - 350,16.0,512.0,Card tích hợp - AMD Radeon 860M Graphics,14.0,1.531
thegioididong_341565,341565,,Intel Core 7 Raptor Lake - 240H,16.0,1024.0,"Card rời - NVIDIA GeForce RTX 5060, 8 GB",16.0,2.49
thegioididong_358381,358381,,Intel Core i7 Raptor Lake - 13650HX,16.0,512.0,"Card rời - NVIDIA GeForce RTX 5050, 8 GB",15.3,2.1
thegioididong_366166,366166,,AMD Ryzen 7 - 7735HS,16.0,512.0,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",15.6,1.8
thegioididong_366167,366167,,Intel Core i7 Raptor Lake - 13645HX,16.0,512.0,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",15.6,2.38
thegioididong_334800,334800,,Snapdragon X - X1 26 100,16.0,512.0,Card tích hợp - Qualcomm Adreno GPU,14.0,0.98
thegioididong_358119,358119,,Intel Core Ultra 7 Arrow Lake - 255H,32.0,512.0,Card tích hợp - Intel Arc 140T,14.0,1.41
thegioididong_364942,364942,,Intel Core Ultra 7 Arrow Lake - 255H,16.0,512.0,Card tích hợp - Intel Graphics,16.0,1.88
thegioididong_342469,342469,,Intel Core i7 Raptor Lake - 1355U,16.0,512.0,Card tích hợp - Intel Iris Xe Graphics,15.6,1.66
thegioididong_366165,366165,,Intel Core Ultra 7 Panther Lake - 355,16.0,512.0,Card tích hợp - Intel Graphics,15.3,1.63
thegioididong_358072,358072,,Intel Core Ultra 7 Arrow Lake - 255U,32.0,512.0,Card tích hợp - Intel Graphics,16.0,1.77
thegioididong_362409,362409,,Intel Core Ultra 5 Lunar Lake - 226V,16.0,512.0,Card tích hợp - Intel Arc Graphics,14.0,1.57
thegioididong_365614,365614,,AMD Ryzen AI 5 - 340,16.0,512.0,Card tích hợp - AMD Radeon 840M Graphics,14.0,1.528
thegioididong_342521,342521,,Intel Core i7 Raptor Lake - 13650HX,16.0,512.0,"Card rời - NVIDIA GeForce RTX 5060, 8 GB",15.3,2.1
thegioididong_367017,367017,,Intel Core Ultra 7 Panther Lake - 355,16.0,512.0,Card tích hợp - Intel Graphics,15.3,1.63
thegioididong_332579,332579,,AMD Ryzen 5 - 8645HS,16.0,512.0,"Card rời - NVIDIA GeForce RTX 3050, 6 GB",16.0,2.5
thegioididong_364622,364622,,Intel Core Ultra 7 Lunar Lake - 258V,32.0,1024.0,Card tích hợp - Intel Arc Graphics 140V,14.0,0.986
thegioididong_337041,337041,,Intel Core Ultra 7 Meteor Lake - 155U,16.0,1024.0,Card tích hợp - Intel Graphics,16.0,1.77
thegioididong_326049,326049,,AMD Ryzen 5 - 7530U,8.0,512.0,Card tích hợp - AMD Radeon Graphics,14.0,1.36
thegioididong_338312,338312,,Intel Core 5 Raptor Lake - 120U,16.0,512.0,Card tích hợp - Intel Iris Xe Graphics,14.0,1.67
thegioididong_364415,364415,,Intel Core Ultra 5 Arrow Lake - 225H,16.0,512.0,Card tích hợp - Intel Graphics,14.0,1.4
thegioididong_363902,363902,,Intel Core i5 Raptor Lake - 13420H,8.0,512.0,Card tích hợp - Intel UHD Graphics,15.6,1.61
thegioididong_361729,361729,,Snapdragon X - X1 26 100,16.0,512.0,Card tích hợp - Qualcomm Adreno GPU,14.0,1.46
thegioididong_362624,362624,,AMD Ryzen AI 7 - 445,16.0,512.0,Card tích hợp - AMD Radeon Graphics,14.0,1.4
thegioididong_359302,359302,,AMD Ryzen AI 9 - HX 370,32.0,1024.0,"Card rời - NVIDIA GeForce RTX 5060, 8 GB",16.0,2.1
thegioididong_341269,341269,,Intel Core Ultra 7 Lunar Lake - 258V,32.0,1024.0,Card tích hợp - Intel Arc 140V,14.0,1.327
thegioididong_363900,363900,,Intel Core Ultra 7 Lunar Lake - 258V,32.0,512.0,Card tích hợp - Intel Arc 140V,14.0,1.32
thegioididong_358798,358798,,AMD Ryzen AI 7 - 350,16.0,512.0,Card tích hợp - AMD Radeon 860M Graphics,16.0,1.79
thegioididong_325247,325247,,Intel Core i7 Raptor Lake - 1355U,16.0,1024.0,Card tích hợp - Intel Iris Xe Graphics,15.6,1.65
thegioididong_342749,342749,,Intel Core i7 Raptor Lake - 13620H,16.0,512.0,Card tích hợp - Intel UHD Graphics,14.0,1.4
thegioididong_367377,367377,,Intel Core 5 Raptor Lake - 120U,8.0,512.0,Card tích hợp - Intel UHD Graphics,15.6,1.6
thegioididong_359299,359299,,Intel Core i9 Raptor Lake - 14900HX,16.0,512.0,"Card rời - NVIDIA GeForce RTX 5060, 8 GB",15.6,2.4
thegioididong_342721,342721,,Intel Core i9 Raptor Lake - 14900HX,32.0,512.0,"Card rời - NVIDIA GeForce RTX 5070, 8 GB",16.0,2.43
thegioididong_361730,361730,,Snapdragon X - X1 26 100,32.0,512.0,Card tích hợp - Qualcomm Adreno GPU,14.0,1.46
thegioididong_358794,358794,,Intel Core 5 Raptor Lake - 210H,24.0,512.0,Card tích hợp - Intel Graphics,16.0,1.91
