product_id,name,brand,price_vnd,old_price_vnd,discount_percent,rating,review_count,screen_size_inch,cpu,gpu,ram_gb,storage_gb,weight_kg,url,source,crawl_date
366823,"Laptop Acer Gaming Nitro ProPanel ANV16-72-71T9 - NH.QUNSV.001 (Core 7 240H, 16GB, 512GB, RTX 5060 8GB, WUXGA 180Hz, Win11)",Acer,45390000,45990000,-1,,,16.0,Intel Core 7 Raptor Lake - 240H,"Card rời - NVIDIA GeForce RTX 5060, 8 GB",16.0,512,2.4,https://www.thegioididong.com/laptop/acer-gaming-nitro-propanel-anv16-72-71t9-core-7-240h-nh-qunsv-001,thegioididong,2026-09-21
327506,"Laptop Acer Swift Go 14 41 R251 - NX.KG3SV.005 (R5 7430U, 16GB, 1TB, Full HD, Win11)",Acer,20590000,20990000,-2,4.9,726,14.0,AMD Ryzen 5 - 7430U,Card tích hợp - AMD Radeon Graphics,16.0,1024,1.25,https://www.thegioididong.com/laptop/acer-swift-go-14-41-r251-r5-nxkg3sv005,thegioididong,2026-09-21
366745,"Laptop Lenovo IdeaPad Slim 3 14ARP10 - 83K600E6VN (R5 7535HS, 16GB, 512GB, WUXGA, Win11)",Lenovo,22490000,25990000,-13,5.0,202,14.0,AMD Ryzen 5 - 7533HS,Card tích hợp - AMD Radeon 660M Graphics,16.0,512,1.39,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-14arp10-r5-7535hs-83k600e6vn,thegioididong,2026-09-21
342758,"Laptop Asus Vivobook S16 S3607VA - RP155WS (Core 5 210H, 16GB, 512GB, WUXGA 144Hz, OfficeH24+365, Win11)",Asus,22390000,24490000,-8,4.9,1762,16.0,Intel Core 5 Raptor Lake - 210H,Card tích hợp - Intel UHD Graphics,16.0,512,1.7,https://www.thegioididong.com/laptop/asus-vivobook-s16-s3607va-core-5-210h-rp155ws,thegioididong,2026-09-21
340562,"Laptop Dell 15 DC15250 - DC5I7748W1 (i7 1355U, 16GB, 512GB, Full HD 120Hz, OfficeH24+365, Win11)",Dell,25890000,26990000,-4,4.9,4126,15.6,Intel Core i7 Raptor Lake - 1355U,Card tích hợp - Intel UHD Graphics,16.0,512,1.65,https://www.thegioididong.com/laptop/dell-15-dc15250-i7-dc5i7748w1,thegioididong,2026-09-21
341623,"Laptop HP Gaming VICTUS 15 fb3116AX - BX8U4PA (R7 7445HS, 16GB, 512GB, RTX3050 6GB, Full HD 144Hz, Win11)",HP,28890000,32090000,-9,5.0,563,15.6,AMD Ryzen 7 - 7445HS,"Card rời - NVIDIA GeForce RTX 3050, 6 GB",16.0,512,2.29,https://www.thegioididong.com/laptop/hp-victus-15-fb3116ax-r7-7445hs-bx8u4pa,thegioididong,2026-09-21
341602,"Laptop Acer Aspire Lite 16 AI AL16 71P 5674 - NX.D4XSV.001 (Ultra 5 125H, 16GB, 512GB, Full HD+, Win11)",Acer,21090000,21990000,-4,4.9,880,16.0,Intel Core Ultra 5 Meteor Lake - 125H,Card tích hợp - Intel Arc Graphics,16.0,512,1.6,https://www.thegioididong.com/laptop/acer-aspire-lite-16-ai-al16-71p-5674-ultra-5-125h-nx-d4xsv-001,thegioididong,2026-09-21
358797,"Laptop HP 15 fd1288TU - C2CV7PA (Ultra 7 155H, 16GB, 512GB, Full HD, Win11)",HP,27090000,27990000,-3,5.0,559,15.6,Intel Core Ultra 7 Meteor Lake - 155H,Card tích hợp - Intel Arc Graphics,16.0,512,1.65,https://www.thegioididong.com/laptop/hp-15-fd1288tu-ultra-7-155h-c2cv7pa,thegioididong,2026-09-21
325691,"Laptop HP 15 fd0015TU - A19C5PA (i7 1355U, 16GB, 512GB, Full HD, Win11)",HP,23090000,,,4.9,6187,15.6,Intel Core i7 Raptor Lake - 1355U,Card tích hợp - Intel Iris Xe Graphics,16.0,512,1.59,https://www.thegioididong.com/laptop/hp-15-fd0015tu-i7-a19c5pa,thegioididong,2026-09-21
363690,"Laptop MSI Gaming Cyborg 15 A13UC - 2088VN (i5 13420H, 16GB, 512GB, RTX 3050 4GB, Full HD 144Hz, Win11)",MSI,27190000,29690000,-8,5.0,106,15.6,Intel Core i5 Raptor Lake - 13420H,"Card rời - NVIDIA GeForce RTX 3050, 4 GB",16.0,512,1.98,https://www.thegioididong.com/laptop/msi-gaming-cyborg-15-a13uc-i5-13420h-2088vn,thegioididong,2026-09-21
