product_id,cpu,ram_gb,storage_gb,gpu,screen_size_inch,weight_kg
362398,Intel Core Ultra 5 Meteor Lake - 125H,24,512,Card tích hợp - Intel Graphics,15.6,1.623
368210,Intel Core 5 Wildcat Lake - 320,16,512,Card tích hợp - Intel Graphics,15.3,1.59
360690,Intel Core 5 Raptor Lake - 120U,16,512,Card tích hợp - Intel Graphics,14.0,1.69
368656,Intel Core 5 Raptor Lake - 210H,16,512,"Card rời - NVIDIA GeForce RTX 3050, 4 GB",15.6,1.99
365310,Intel Core i5 Raptor Lake - 1334U,16,512,Card tích hợp - Intel UHD Graphics,15.6,1.9
341267,Intel Core Ultra 5 Arrow Lake - 225U,16,512,Card tích hợp - Intel Graphics,16.0,1.725
368211,Intel Core 5 Wildcat Lake - 320,8,512,Card tích hợp - Intel Graphics,15.3,1.59
366090,Intel Core Ultra 5 Meteor Lake - 115U,16,512,Card tích hợp - Intel Graphics,15.6,1.59
363903,AMD Ryzen 7 - 170,16,512,"Card rời - NVIDIA GeForce RTX 3050, 6 GB",15.6,1.8
357990,Intel Core i5 Raptor Lake - 1334U,16,512,Card tích hợp - Intel UHD Graphics,15.6,1.65
362620,AMD Ryzen 5 - 40,8,512,Card tích hợp - AMD Radeon Graphics,15.6,1.63
368655,Intel Core Ultra 5 Meteor Lake - 125H,16,512,Card tích hợp - Intel Arc Graphics,16.0,1.6
