product_id,sku,screen_size_inch,resolution,refresh_rate_hz,panel_type,response_time_ms
644116,221101488,25.0,Full HD,240.0,IPS,1.0
644117,221101489,27.0,Full HD,240.0,IPS,1.0
468857,221101490,32.0,,60.0,IPS,5.0
470392,221201148,27.0,Full HD,75.0,IPS,5.0
471206,221201945,27.0,Full HD,170.0,VA,1.0
471321,221202061,27.0,2K,75.0,IPS,1.0
495101,230104455,32.0,2K,75.0,IPS,4.0
500297,230201390,34.0,,175.0,OLED,0.1
644107,230201392,23.8,Full HD,170.0,IPS,1.0
500829,230201967,23.8,Full HD,60.0,IPS,5.0
643915,230300162,21.5,Full HD,75.0,IPS,5.0
504833,230300169,15.6,Full HD,60.0,IPS,5.0
504834,230300170,15.6,Full HD,60.0,IPS,6.5
644113,230300172,22.0,Full HD,75.0,IPS,5.0
507331,230302873,34.0,,100.0,VA,1.0
507336,230302878,27.9,Full HD,60.0,IPS,4.0
508191,230304172,23.8,Full HD,75.0,IPS,5.0
508998,230400174,27.0,,60.0,IPS,5.0
509000,230400176,23.8,Full HD,60.0,IPS,5.0
509001,230400177,27.0,Full HD,60.0,IPS,5.0
509691,230400871,27.0,Full HD,165.0,VA,1.0
644100,230400874,23.8,Full HD,75.0,VA,4.0
644105,230400875,27.0,Full HD,75.0,VA,4.0
644119,230400878,23.8,Full HD,75.0,IPS,4.0
597143,230400879,23.8,Full HD,60.0,VA,5.0
510887,230401797,55.0,,144.0,IPS,9.0
510984,230401897,23.8,Full HD,75.0,IPS,4.0
511671,230402298,27.0,Full HD,75.0,IPS,5.0
512611,230402444,34.0,,144.0,IPS,1.0
512856,230402696,27.0,2K,75.0,IPS,5.0
513484,230500316,27.0,,144.0,IPS,1.0
513527,230500359,27.0,Full HD,165.0,IPS,1.0
513531,230500363,27.0,2K,60.0,IPS,5.0
514750,230502050,27.0,Full HD,180.0,VA,1.0
514751,230502051,31.5,Full HD,240.0,VA,1.0
514754,230502054,23.8,Full HD,75.0,IPS,5.0
515105,230502471,32.0,,60.0,VA,4.0
515913,230600778,23.8,Full HD,165.0,IPS,1.0
515914,230600779,27.0,2K,170.0,IPS,1.0
516309,230602349,27.0,2K,165.0,VA,1.0
